City,Cloudiness,Country,Date,Humidity,Lat,Lng,Max Temp,Wind Speed
Kruisfontein,92,ZA,1551548075,80,-34.0,24.73,64.47,1.83
Vaini,0,IN,1551547786,84,15.34,74.49,63.25,3.18
Khatanga,0,RU,1551548075,28,71.98,102.47,-19.46,2.95
Arraial do Cabo,75,BR,1551546000,78,-22.97,-42.02,82.4,8.05
Waddan,0,LY,1551548075,23,29.16,16.14,59.43,8.21
Kavieng,0,PG,1551547846,100,-2.57,150.8,82.65,4.97
Cape Town,20,ZA,1551547653,77,-33.93,18.42,72.0,12.75
Provideniya,80,RU,1551548076,100,64.42,-173.23,23.7,7.99
Chokurdakh,76,RU,1551548076,78,70.62,147.9,-12.49,16.49
Pevek,48,RU,1551548077,76,69.7,170.27,-7.58,4.63
Atuona,20,PF,1551547778,100,-9.8,-139.03,80.85,10.89
Lerwick,40,GB,1551547200,93,60.15,-1.15,44.6,19.46
College,1,US,1551547845,83,64.86,-147.8,6.01,2.73
Biak,8,ID,1551548078,100,-0.91,122.88,76.08,0.94
Vestmannaeyjar,75,IS,1551546000,86,63.44,-20.27,39.2,4.7
Busselton,0,AU,1551547810,49,-33.64,115.35,60.01,13.47
Hamilton,75,BM,1551547121,83,32.3,-64.78,72.0,20.8
Mataura,0,NZ,1551548078,84,-46.19,168.86,36.52,2.84
Eyl,0,SO,1551548079,99,7.98,49.82,76.39,6.76
Avarua,0,CK,1551547800,100,-21.21,-159.78,78.8,1.12
Thompson,40,CA,1551546000,57,55.74,-97.86,-13.01,5.82
Makat,88,KZ,1551548079,93,47.65,53.35,33.73,14.81
Nieves,0,MX,1551548079,27,24.0,-103.02,75.85,4.41
Road Town,40,VG,1551548015,58,18.42,-64.62,82.4,11.41
Rikitea,0,PF,1551548080,100,-23.12,-134.97,78.33,10.67
Musoma,75,TZ,1551546000,73,-1.5,33.81,73.4,7.99
Norman Wells,5,CA,1551546000,64,65.28,-126.83,-4.01,14.99
Corrales,88,CO,1551548080,90,5.83,-72.84,55.38,2.39
Hobart,0,AU,1551547996,82,-42.88,147.33,64.0,4.7
